,Unnamed: 0,tweet_id,text,created_at,user_id,user_name,user_description,followers_count,verified
0,1.0,8.154741578612244e+17,M25 J6 anti-clockwise exit | Anti-Clockwise | Accident,2017-01-01T08:26:04.000Z,20979719.0,South East Traffic News,Latest traffic news in the South East UK.,10952.0,0.0
1,2.0,8.154744969750815e+17,#M25 anticlockwise lane closed on exit slip road due to accident at J6 A22 / B2235 #Godstone. #HeartNews https://t.co/ReD8shWZRu,2017-01-01T08:27:25.000Z,2427482071.0,Sussex News,We’ve moved. You can still find the latest news for Sussex & Surrey here @HeartSouthNews.,4975.0,0.0
2,3.0,8.154744972015739e+17,#M25 anticlockwise lane closed on exit slip road due to accident at J6 A22 / B2235 #Godstone. #HeartNews https://t.co/gPoaNlaOZI,2017-01-01T08:27:25.000Z,2437119674.0,Kent News,We’ve moved. You can still find the latest news for Kent here @HeartSouthNews.,3306.0,0.0
3,4.0,8.154754191892849e+17,"Travel #Dartford
#A2 coastbound blocked, due to overturned vehicle A2018 Dartford Heath and #M25 J2 Darenth Interchange #HeartNews",2017-01-01T08:31:05.000Z,2437119674.0,Kent News,We’ve moved. You can still find the latest news for Kent here @HeartSouthNews.,3306.0,0.0
4,5.0,8.15475449962922e+17,One lane is closed on the #M25 anticlockwise J6 exit slip due to an incident. Please approach with caution. Thx 2 HW England,2017-01-01T08:31:12.000Z,4122209764.0,trafficjamnetwork,Account has been set up to allow people to share their traffic jam or congestion info all from one feed.,1909.0,0.0
5,6.0,8.154754520767611e+17,M25 J6 anti-clockwise exit | Accident https://t.co/3yzAQMEgUb Thx 2 HW England,2017-01-01T08:31:13.000Z,4122209764.0,trafficjamnetwork,Account has been set up to allow people to share their traffic jam or congestion info all from one feed.,1909.0,0.0
6,9.0,8.154756766440817e+17,Severe Disruption: Eastbound between Old Bexley Lane and J2 #Kent #Traffic #A2018 #M25,2017-01-01T08:32:06.000Z,7.330884380319498e+17,Traffic,,366.0,0.0
7,12.0,8.154759259743273e+17,M25 J6 anti-clockwise exit | Anti-Clockwise | Accident https://t.co/GmIY421nd4,2017-01-01T08:33:06.000Z,544501743.0,Parability,"HELPING A HUMAN RACE - 
Increasing each others abilities and access to opportunities",232.0,0.0
8,14.0,8.154762093122724e+17,"TRAVEL: A2 blocked coastbound, due to an overturned vehicle between A2018 Old Bexley Lane (Dartford Heath) and M25 J2 (Darenth Interchange) https://t.co/Nuy76c3JLR",2017-01-01T08:34:13.000Z,288993240.0,kmfm News,"The latest Kent headlines from the kmfm news team.
Email: news@thekmgroup.co.uk
Listen: https://t.co/DcAT33l4Pu",21269.0,1.0
9,15.0,8.154762587714396e+17,"TRAVEL: A2 blocked coastbound, due to an overturned vehicle between A2018 Old Bexley Lane (Dartford Heath) and M25 J2 (Darenth Interchange)",2017-01-01T08:34:25.000Z,31101301.0,KentOnline,All the latest news from Kent - brought to you by the KentOnline team. Send stories and pics to news@thekmgroup.co.uk,194275.0,1.0
10,18.0,8.154779817873408e+17,A2 eastbound between A2018 and M25/A282 | Overturned Vehicle https://t.co/2OWj7VQ5Qs Thx 2 HW England,2017-01-01T08:41:16.000Z,4122209764.0,trafficjamnetwork,Account has been set up to allow people to share their traffic jam or congestion info all from one feed.,1909.0,0.0
11,20.0,8.15482893460009e+17,A2 coast-bound delays after car overturns near M25 J2 https://t.co/BiKLwBC2fe,2017-01-01T09:00:47.000Z,2669253847.0,Garage Doors Kent,Garage Doors Kent is the place to go when you are looking for a high-quality door for your garage.,31.0,0.0
12,30.0,8.154905421089014e+17,A2 eastbound between A2018 and M25/A282 | Congestion https://t.co/J6QeNX4QxG Thx 2 HW England,2017-01-01T09:31:10.000Z,4122209764.0,trafficjamnetwork,Account has been set up to allow people to share their traffic jam or congestion info all from one feed.,1909.0,0.0
13,34.0,8.154925489868841e+17,"@Kent_Online our unique #stopsmoking programme runs J30, M25 on Saturday 14th and then 21st Jan. See quit stories @ https://t.co/GgM0rmi0aN https://t.co/CSE9eo7zTy",2017-01-01T09:39:09.000Z,7.426068723148104e+17,makemeSMOKEFREE,makemeSMOKEFREE is a 30 day online audio/video Stop Smoking  Programme for people who've tried everything else. Quit or get your money back!,208.0,0.0
14,38.0,8.154939272476918e+17,TRAVEL UPDATE: two lanes still closed due to an overturned car on the #A2 coastbound between Dartford Heath and M25 J2 (Darenth Interchange) https://t.co/1SrezkjjnE,2017-01-01T09:44:38.000Z,288993240.0,kmfm News,"The latest Kent headlines from the kmfm news team.
Email: news@thekmgroup.co.uk
Listen: https://t.co/DcAT33l4Pu",21269.0,1.0
15,39.0,8.154939724748595e+17,TRAVEL UPDATE: two lanes still closed due to an overturned car on the #A2 coastbound between Dartford Heath and M25 J2 (Darenth Interchange),2017-01-01T09:44:48.000Z,31101301.0,KentOnline,All the latest news from Kent - brought to you by the KentOnline team. Send stories and pics to news@thekmgroup.co.uk,194275.0,1.0
16,46.0,8.154982211539067e+17,Recovery is now complete and all lanes have now reopened on the #M25 anticlockwise J6 exit slip. Thanks for your patience.,2017-01-01T10:01:41.000Z,224657803.0,National Highways: South-East,"OFFICIAL FEED. Live traffic info on England’s motorways + major A roads. 
🆘 In an emergency: phone 999 
General enquiry: phone our contact centre 0300 123 5000",105713.0,0.0
17,50.0,8.154994821504369e+17,TRAVEL UPDATE: @HighwaysSEAST says all lanes have now reopened on the #A2 coasbound between Dartford Heath and the #M25 J2 https://t.co/E7JZeWFLFg,2017-01-01T10:06:42.000Z,288993240.0,kmfm News,"The latest Kent headlines from the kmfm news team.
Email: news@thekmgroup.co.uk
Listen: https://t.co/DcAT33l4Pu",21269.0,1.0
18,51.0,8.154995118670807e+17,TRAVEL UPDATE: @HighwaysSEAST says all lanes have now reopened on the #A2 coasbound between Dartford Heath and the #M25 J2,2017-01-01T10:06:49.000Z,31101301.0,KentOnline,All the latest news from Kent - brought to you by the KentOnline team. Send stories and pics to news@thekmgroup.co.uk,194275.0,1.0
19,54.0,8.15500646250152e+17,Recovery is now complete and all lanes have now reopened on the #M25 anticlockwise J6 exit slip. Thanks for your patience. Thx 2 HW England,2017-01-01T10:11:19.000Z,4122209764.0,trafficjamnetwork,Account has been set up to allow people to share their traffic jam or congestion info all from one feed.,1909.0,0.0
20,69.0,8.155615871090729e+17,#M25 anti-clockwise between J6 and J5 | Anti-Clockwise | Road Works | Surrey https://t.co/BeYng4qWYF #uktraffic,2017-01-01T14:13:29.000Z,2859372700.0,UK Traffic Delays,Traffic and #travel reports for the UK's major roads. London jam cams UK motorway roadworks. London bicycle hire. Tweets by Malcolm #uktraffic #trafficdelays,3945.0,0.0
21,70.0,8.155691735228252e+17,#M25 clockwise between J16 and J17 | Clockwise | Road Works | Buckinghamshire https://t.co/fl8QGUC6jd #east #uktraffic,2017-01-01T14:43:38.000Z,2859372700.0,UK Traffic Delays,Traffic and #travel reports for the UK's major roads. London jam cams UK motorway roadworks. London bicycle hire. Tweets by Malcolm #uktraffic #trafficdelays,3945.0,0.0
22,72.0,8.155733093415035e+17,#M25 clockwise within J27 after M11 J6 northbound access - Congestion - Full details at https://t.co/l5EmoAw0RN,2017-01-01T15:00:04.000Z,797685578.0,Live Traffic - M25,Live #M25 traffic information updated every 5 minutes by @MotorwayCameras - SEE the traffic live CCTV images @ http://t.co/xQQta8vJRK,54500.0,0.0
23,73.0,8.155733104362455e+17,#M25 clockwise within J27 after M11 J6 northbound access - Congestion - Full details at https://t.co/LwI3prBa31,2017-01-01T15:00:04.000Z,2203877580.0,Traffic - All M'ways,Live #traffic news and information from every UK #motorway! Now updated every 5 minutes by @MotorwayCameras - SEE the traffic @ http://t.co/WFCp3NaSjI,2600.0,0.0
24,74.0,8.155744397859922e+17,#M25 clockwise within J27 after M11 J6 northbound access | Congestion https://t.co/0kMJUBRmxG,2017-01-01T15:04:33.000Z,224662544.0,National Highways: East,"OFFICIAL FEED. Live traffic info on England’s motorways + major A roads. 
🆘 In an emergency: phone 999 
General enquiry: phone our contact centre 0300 123 5000",61664.0,0.0
25,75.0,8.155751869091062e+17,#M25 clockwise within J27 after M11 J6 northbound access | Congestion https://t.co/l3A4RTFakJ Thx 2 HW England,2017-01-01T15:07:31.000Z,4122209764.0,trafficjamnetwork,Account has been set up to allow people to share their traffic jam or congestion info all from one feed.,1909.0,0.0
26,77.0,8.155809580364677e+17,"#M3 (eastbound) J3 - J2 towards #M25.. stranded car.. contractors + recovery on way to assist! take care approaching, slight delays building https://t.co/omk0Xa5ghG",2017-01-01T15:30:27.000Z,224657803.0,National Highways: South-East,"OFFICIAL FEED. Live traffic info on England’s motorways + major A roads. 
🆘 In an emergency: phone 999 
General enquiry: phone our contact centre 0300 123 5000",105713.0,0.0
27,78.0,8.155811549213778e+17,#M3 (eastbound) J3 - J2 towards #M25.. stranded car.. contractors + recovery on way to assist! take care approachin… …,2017-01-01T15:31:14.000Z,4122209764.0,trafficjamnetwork,Account has been set up to allow people to share their traffic jam or congestion info all from one feed.,1909.0,0.0
28,80.0,8.155849140998062e+17,Recovery work complete #M3 (eastbound) J3 - J2 towards #M25 .. Thanks to contractors for assistance.. all lanes open. https://t.co/uomQXjPD4D,2017-01-01T15:46:11.000Z,224657803.0,National Highways: South-East,"OFFICIAL FEED. Live traffic info on England’s motorways + major A roads. 
🆘 In an emergency: phone 999 
General enquiry: phone our contact centre 0300 123 5000",105713.0,0.0
29,81.0,8.155849526749061e+17,Recovery work complete #M3 (eastbound) J3 - J2 towards #M25 .. Thanks to contractors for assistance.. all lanes ope… …,2017-01-01T15:46:20.000Z,4122209764.0,trafficjamnetwork,Account has been set up to allow people to share their traffic jam or congestion info all from one feed.,1909.0,0.0
30,84.0,8.155915499793695e+17,M25 anti-clockwise between J10 and J9 | Anti-Clockwise | Flooding,2017-01-01T16:12:33.000Z,20979719.0,South East Traffic News,Latest traffic news in the South East UK.,10952.0,0.0
31,85.0,8.155915503946097e+17,M25 anti-clockwise between J10 and J9 | Anti-Clockwise | Flooding https://t.co/pTh3UcnYA7,2017-01-01T16:12:33.000Z,544501743.0,Parability,"HELPING A HUMAN RACE - 
Increasing each others abilities and access to opportunities",232.0,0.0
32,86.0,8.155921772628869e+17,#M25 anti-clockwise between J10 and J9 - Flooding - Full details at https://t.co/l5EmoAw0RN,2017-01-01T16:15:02.000Z,797685578.0,Live Traffic - M25,Live #M25 traffic information updated every 5 minutes by @MotorwayCameras - SEE the traffic live CCTV images @ http://t.co/xQQta8vJRK,54500.0,0.0
33,87.0,8.155921786091684e+17,#M25 anti-clockwise between J10 and J9 - Flooding - Full details at https://t.co/LwI3prBa31,2017-01-01T16:15:03.000Z,2203877580.0,Traffic - All M'ways,Live #traffic news and information from every UK #motorway! Now updated every 5 minutes by @MotorwayCameras - SEE the traffic @ http://t.co/WFCp3NaSjI,2600.0,0.0
34,88.0,8.155931853301514e+17,M25 anti-clockwise between J10 and J9 | Flooding https://t.co/sMgUfuQzuz,2017-01-01T16:19:03.000Z,224657803.0,National Highways: South-East,"OFFICIAL FEED. Live traffic info on England’s motorways + major A roads. 
🆘 In an emergency: phone 999 
General enquiry: phone our contact centre 0300 123 5000",105713.0,0.0
35,91.0,8.155937935588229e+17,M25 anti-clockwise between J10 and J9 | Flooding https://t.co/Lesoi15zaM Thx 2 HW England,2017-01-01T16:21:28.000Z,4122209764.0,trafficjamnetwork,Account has been set up to allow people to share their traffic jam or congestion info all from one feed.,1909.0,0.0
36,96.0,8.156022539647713e+17,M25 anti-clockwise between J10 and J9 | Anti-Clockwise | Congestion,2017-01-01T16:55:05.000Z,20979719.0,South East Traffic News,Latest traffic news in the South East UK.,10952.0,0.0
37,97.0,8.156027449208668e+17,#M25 anti-clockwise between J10 and J9 - Congestion - Full details at https://t.co/l5EmoAw0RN,2017-01-01T16:57:02.000Z,797685578.0,Live Traffic - M25,Live #M25 traffic information updated every 5 minutes by @MotorwayCameras - SEE the traffic live CCTV images @ http://t.co/xQQta8vJRK,54500.0,0.0
38,98.0,8.156027464600863e+17,#M25 anti-clockwise between J10 and J9 - Congestion - Full details at https://t.co/LwI3prBa31,2017-01-01T16:57:02.000Z,2203877580.0,Traffic - All M'ways,Live #traffic news and information from every UK #motorway! Now updated every 5 minutes by @MotorwayCameras - SEE the traffic @ http://t.co/WFCp3NaSjI,2600.0,0.0
39,99.0,8.156089171745464e+17,#방탄소년단 #love #GOT7M25 anti-clockwise between J9 and J8 | Anti-Clockwise | Road Works https://t.co/shfrwI4eo2 #travel #traveling,2017-01-01T17:21:33.000Z,471002654.0,Travel,,12.0,0.0
40,100.0,8.156089257686876e+17,#방탄소년단 #love #GOT7M25 anti-clockwise between J10 and J9 | Anti-Clockwise | Flooding https://t.co/IJmAOuamNk #travel #traveling,2017-01-01T17:21:35.000Z,471002654.0,Travel,,12.0,0.0
41,105.0,8.156229623385252e+17,#M25 clockwise between J16 and J17 | Clockwise | Road Works | Buckinghamshire https://t.co/lBoLK2IREY #east #uktraffic,2017-01-01T18:17:22.000Z,2859372700.0,UK Traffic Delays,Traffic and #travel reports for the UK's major roads. London jam cams UK motorway roadworks. London bicycle hire. Tweets by Malcolm #uktraffic #trafficdelays,3945.0,0.0
42,108.0,8.156415183169126e+17,Medium Accident: Westbound between B255 and J2 #Kent #Traffic #B255 #M25,2017-01-01T19:31:06.000Z,7.330884380319498e+17,Traffic,,366.0,0.0
43,111.0,8.156450356223427e+17,#방탄소년단 #love #GOT7M25 clockwise between J14 and J15 | Clockwise | Road Works https://t.co/uaZyWzEX4p #travel #traveling,2017-01-01T19:45:05.000Z,471002654.0,Travel,,12.0,0.0
